País de residencia	Tipo de dato	Gastos y duración media de los viajes	Periodo	Total
Total	Dato base	Gasto total	2020M09	967,48
Total	Dato base	Gasto total	2020M08	2.456,83
Total	Dato base	Gasto total	2020M07	2.450,09
Total	Dato base	Gasto total	2020M06	133,37
Total	Dato base	Gasto total	2020M05	0,00
Total	Dato base	Gasto total	2020M04	0,00
Total	Dato base	Gasto total	2020M03	2.214,89
Total	Dato base	Gasto total	2020M02	4.713,58
Total	Dato base	Gasto total	2020M01	4.778,57
Total	Dato base	Gasto total	2019M12	5.010,84
Total	Dato base	Gasto total	2019M11	5.062,63
Total	Dato base	Gasto total	2019M10	8.322,55
Total	Dato base	Gasto total	2019M09	9.617,21
Total	Dato base	Gasto total	2019M08	11.704,76
Total	Dato base	Gasto total	2019M07	11.941,51
Total	Dato base	Gasto total	2019M06	9.686,12
Total	Dato base	Gasto total	2019M05	8.137,84
Total	Dato base	Gasto total	2019M04	7.056,36
Total	Dato base	Gasto total	2019M03	6.034,87
Total	Dato base	Gasto total	2019M02	4.658,61
Total	Dato base	Gasto total	2019M01	4.678,67
Total	Dato base	Gasto total	2018M12	5.009,52
Total	Dato base	Gasto total	2018M11	4.888,55
Total	Dato base	Gasto total	2018M10	8.164,58
Total	Dato base	Gasto total	2018M09	9.545,81
Total	Dato base	Gasto total	2018M08	11.459,69
Total	Dato base	Gasto total	2018M07	11.748,10
Total	Dato base	Gasto total	2018M06	9.370,81
Total	Dato base	Gasto total	2018M05	8.155,06
Total	Dato base	Gasto total	2018M04	6.621,53
Total	Dato base	Gasto total	2018M03	5.726,73
Total	Dato base	Gasto total	2018M02	4.535,94
Total	Dato base	Gasto total	2018M01	4.524,43
Total	Dato base	Gasto total	2017M12	4.530,66
Total	Dato base	Gasto total	2017M11	4.642,35
Total	Dato base	Gasto total	2017M10	7.789,23
Total	Dato base	Gasto total	2017M09	9.476,29
Total	Dato base	Gasto total	2017M08	11.340,29
Total	Dato base	Gasto total	2017M07	11.850,99
Total	Dato base	Gasto total	2017M06	8.987,77
Total	Dato base	Gasto total	2017M05	7.927,07
Total	Dato base	Gasto total	2017M04	6.782,08
Total	Dato base	Gasto total	2017M03	5.109,49
Total	Dato base	Gasto total	2017M02	4.304,73
Total	Dato base	Gasto total	2017M01	4.262,99
Total	Dato base	Gasto total	2016M12	4.525,45
Total	Dato base	Gasto total	2016M11	4.205,06
Total	Dato base	Gasto total	2016M10	7.333,85
Total	Dato base	Gasto total	2016M09	8.399,31
Total	Dato base	Gasto total	2016M08	10.281,98
Total	Dato base	Gasto total	2016M07	10.238,54
Total	Dato base	Gasto total	2016M06	7.817,41
Total	Dato base	Gasto total	2016M05	6.917,93
Total	Dato base	Gasto total	2016M04	5.627,99
Total	Dato base	Gasto total	2016M03	4.624,47
Total	Dato base	Gasto total	2016M02	3.706,27
Total	Dato base	Gasto total	2016M01	3.737,26
Total	Dato base	Gasto total	2015M12	3.773,27
Total	Dato base	Gasto total	2015M11	3.872,84
Total	Dato base	Gasto total	2015M10	6.280,63
Total	Dato base	Gasto medio por persona	2020M09	849
Total	Dato base	Gasto medio por persona	2020M08	1.006
Total	Dato base	Gasto medio por persona	2020M07	994
Total	Dato base	Gasto medio por persona	2020M06	651
Total	Dato base	Gasto medio por persona	2020M05	0
Total	Dato base	Gasto medio por persona	2020M04	0
Total	Dato base	Gasto medio por persona	2020M03	1.097
Total	Dato base	Gasto medio por persona	2020M02	1.066
Total	Dato base	Gasto medio por persona	2020M01	1.155
Total	Dato base	Gasto medio por persona	2019M12	1.164
Total	Dato base	Gasto medio por persona	2019M11	1.088
Total	Dato base	Gasto medio por persona	2019M10	1.097
Total	Dato base	Gasto medio por persona	2019M09	1.087
Total	Dato base	Gasto medio por persona	2019M08	1.157
Total	Dato base	Gasto medio por persona	2019M07	1.209
Total	Dato base	Gasto medio por persona	2019M06	1.096
Total	Dato base	Gasto medio por persona	2019M05	1.028
Total	Dato base	Gasto medio por persona	2019M04	987
Total	Dato base	Gasto medio por persona	2019M03	1.068
Total	Dato base	Gasto medio por persona	2019M02	1.063
Total	Dato base	Gasto medio por persona	2019M01	1.115
Total	Dato base	Gasto medio por persona	2018M12	1.150
Total	Dato base	Gasto medio por persona	2018M11	1.078
Total	Dato base	Gasto medio por persona	2018M10	1.067
Total	Dato base	Gasto medio por persona	2018M09	1.069
Total	Dato base	Gasto medio por persona	2018M08	1.126
Total	Dato base	Gasto medio por persona	2018M07	1.172
Total	Dato base	Gasto medio por persona	2018M06	1.095
Total	Dato base	Gasto medio por persona	2018M05	1.009
Total	Dato base	Gasto medio por persona	2018M04	977
Total	Dato base	Gasto medio por persona	2018M03	1.062
Total	Dato base	Gasto medio por persona	2018M02	1.075
Total	Dato base	Gasto medio por persona	2018M01	1.102
Total	Dato base	Gasto medio por persona	2017M12	1.138
Total	Dato base	Gasto medio por persona	2017M11	1.057
Total	Dato base	Gasto medio por persona	2017M10	1.071
Total	Dato base	Gasto medio por persona	2017M09	1.067
Total	Dato base	Gasto medio por persona	2017M08	1.091
Total	Dato base	Gasto medio por persona	2017M07	1.129
Total	Dato base	Gasto medio por persona	2017M06	1.066
Total	Dato base	Gasto medio por persona	2017M05	991
Total	Dato base	Gasto medio por persona	2017M04	958
Total	Dato base	Gasto medio por persona	2017M03	1.040
Total	Dato base	Gasto medio por persona	2017M02	1.045
Total	Dato base	Gasto medio por persona	2017M01	1.091
Total	Dato base	Gasto medio por persona	2016M12	1.134
Total	Dato base	Gasto medio por persona	2016M11	1.026
Total	Dato base	Gasto medio por persona	2016M10	1.027
Total	Dato base	Gasto medio por persona	2016M09	1.059
Total	Dato base	Gasto medio por persona	2016M08	1.025
Total	Dato base	Gasto medio por persona	2016M07	1.073
Total	Dato base	Gasto medio por persona	2016M06	1.035
Total	Dato base	Gasto medio por persona	2016M05	973
Total	Dato base	Gasto medio por persona	2016M04	925
Total	Dato base	Gasto medio por persona	2016M03	999
Total	Dato base	Gasto medio por persona	2016M02	1.007
Total	Dato base	Gasto medio por persona	2016M01	1.060
Total	Dato base	Gasto medio por persona	2015M12	1.074
