Tipo de dato;Agregados macroeconómicos;Niveles y tasas;Periodo;Total
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2020T3;287.363
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2020T2;245.867
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2020T1;297.796
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2019T4;315.833
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2019T3;311.674
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2019T2;310.220
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2019T1;307.045
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2018T4;305.743
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2018T3;302.037
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2018T2;299.707
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2018T1;296.754
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2017T4;295.449
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2017T3;291.234
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2017T2;289.461
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2017T1;285.723
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2016T4;281.896
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2016T3;280.145
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2016T2;276.760
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2016T1;275.039
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2015T4;272.928
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2015T3;270.633
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2015T2;268.181
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2015T1;265.848
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2014T4;260.618
