mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;gastototal;factoregatur
032019;2;20160300012664;3;3;01;05;184.60725268;1134.2515411
032019;2;20160300012665;3;3;03;05;68.604486232;1134.2515411
032019;2;20160300012668;3;3;01;05;92.209775794;1134.2515411
032019;2;20160300012672;3;3;01;05;153.49701076;1134.2515411
032019;2;20160300012673;3;3;05;05;90.291305056;1134.2515411
032019;2;20160300012675;3;3;03;05;124.72571545;1134.2515411
032019;2;20160300012679;3;3;01;05;151.12522109;1134.2515411
032019;2;20160300012680;3;3;01;05;150.0456902;1134.2515411
032019;2;20160300012681;3;3;03;05;92.209775794;1134.2515411
032019;2;20160300012682;3;3;09;05;217.20766487;1134.2515411
032019;2;20160300012688;3;3;01;05;194.42894171;1134.2515411
032019;2;20160300012689;3;3;03;05;189.09082095;2268.5030822
032019;2;20160300012694;3;3;01;05;87.128996844;1134.2515411
032019;2;20160300012695;3;3;05;05;70.699646154;1134.2515411
032019;2;20160300012696;3;3;01;05;92.209775794;1134.2515411
032019;2;20160300012697;3;3;09;05;195.70508293;1134.2515411
032019;2;20160300012698;3;3;01;05;87.128996844;1134.2515411
032019;2;20160300012699;3;3;09;05;87.128996844;1134.2515411
032019;2;20160300012700;3;3;03;05;112.6242204;1134.2515411
032019;2;20160300012701;3;3;05;05;92.209775794;1134.2515411
032019;2;20160300012704;3;3;01;05;92.209775794;1134.2515411
032019;2;20160300012705;3;3;05;05;105.41980106;567.12577056
032019;2;20160300012706;3;3;03;05;137.60437915;1134.2515411
032019;2;20160300012712;3;3;03;05;105.41980106;1134.2515411
032019;2;20160300012713;3;3;01;05;92.209775794;567.12577056
032019;2;20160300012714;3;3;01;05;87.128996844;1134.2515411
032019;2;20160300012715;3;3;03;05;228.84035434;1134.2515411
032019;2;20160300012717;3;3;03;05;92.209775794;1134.2515411
032019;2;20160300012720;3;3;03;05;643.57457413;1134.2515411
032019;2;20160300012724;3;3;03;05;92.209775794;1134.2515411
032019;2;20160300012729;3;3;01;05;643.57457413;1134.2515411
032019;2;20160300012731;3;3;05;05;92.209775794;1134.2515411
032019;2;20160300012733;3;3;05;05;234.24358039;1134.2515411
032019;2;20160300012734;3;3;03;05;105.41980106;1134.2515411
032019;2;20160300020019;3;3;08;05;484.41905688;567.12577056
032019;2;20160300020020;3;3;08;05;152.4839725;1134.2515411
032019;2;20160300020022;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020023;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020026;3;3;08;05;289.81501684;1134.2515411
032019;2;20160300020027;3;3;08;05;340.25334453;1134.2515411
032019;2;20160300020028;3;3;08;05;258.319035;1134.2515411
032019;2;20160300020029;3;3;08;05;253.85544608;1134.2515411
032019;2;20160300020030;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020031;3;3;08;05;308.49344548;1134.2515411
032019;2;20160300020032;3;3;08;05;439.88118238;1134.2515411
032019;2;20160300020035;3;3;08;05;384.22704397;1134.2515411
032019;2;20160300020036;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020037;3;3;08;05;315.27539058;567.12577056
032019;2;20160300020038;3;3;08;05;323.39929142;1134.2515411
032019;2;20160300020039;3;3;08;05;358.83163042;1134.2515411
032019;2;20160300020041;3;3;08;05;224.31002847;1134.2515411
032019;2;20160300020044;3;3;08;05;1149.5431421;567.12577056
032019;2;20160300020045;3;3;08;05;669.09753985;1134.2515411
032019;2;20160300020046;3;3;08;05;471.60096645;1134.2515411
032019;2;20160300020048;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020049;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020050;3;3;08;05;184.67995267;567.12577056
032019;2;20160300020052;3;3;08;05;707.68889706;1134.2515411
032019;2;20160300020054;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020055;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020056;3;3;08;05;454.57730762;1134.2515411
032019;2;20160300020058;3;3;12;05;1119.1794978;567.12577056
032019;2;20160300020059;3;3;08;05;184.67995267;1134.2515411
032019;2;20160300020061;3;3;08;05;374.19589821;1134.2515411
032019;2;20160300020062;3;3;08;05;368.31603464;1134.2515411
032019;2;20160300020063;3;3;08;05;411.89953758;1134.2515411
012019;2;20170100001957;4;2;01;98;41.773998326;136.85771413
012019;2;20170100005146;4;1;02;98;91.112401468;291.83487956
012019;2;20170100011747;4;2;01;98;41.773998326;136.85771413
012019;2;20170100015730;4;2;01;98;41.773998326;136.85771413
012019;2;20170100020382;4;1;01;98;91.112401468;182.62824153
012019;2;20170100026478;4;2;01;98;41.773998326;547.43085653
012019;2;20170100027890;4;1;01;98;91.112401468;182.62824153
012019;2;20170200000236;4;4;15;98;52.616805534;20.392590436
022019;2;20170200000236;4;4;15;98;53.598934932;15.097370695
032019;2;20170200000236;4;4;15;98;53.647030393;18.635305721
022019;2;20170200000657;4;4;15;98;53.598934932;15.097370695
012019;2;20170200000657;4;4;15;98;52.616805534;20.392590436
032019;2;20170200000657;4;4;15;98;53.647030393;18.635305721
022019;2;20170200005895;4;1;01;98;92.57401107;144.34696973
012019;2;20170200005895;4;1;01;98;91.112401468;182.62824153
022019;2;20170200005909;4;4;15;98;53.598934932;30.194741389
032019;2;20170200005909;4;4;15;98;53.647030393;37.270611442
012019;2;20170200005909;4;4;15;98;52.616805534;40.785180873
022019;2;20170200023726;4;1;01;98;92.57401107;144.34696973
042019;2;20170300003436;4;1;06;98;97.378303045;188.55575167
042019;2;20170300005640;3;1;05;09;87.903607364;715.93391846
012019;2;20170300018288;4;1;01;98;91.112401468;182.62824153
022019;2;20170300018288;4;1;01;98;92.57401107;144.34696973
012019;2;20170300021769;3;1;01;12;50.192037402;153.84526708
022019;2;20170300021769;3;1;01;12;50.39172798;123.99263066
042019;2;20170300021769;3;1;01;12;51.146268997;361.3041091
042019;2;20170300021898;4;1;02;98;97.378303045;445.62358125
012019;2;20170300021898;4;1;02;98;91.112401468;291.83487956
032019;2;20170300023497;3;1;02;12;50.728791239;60.507684267
012019;2;20170300023497;3;1;02;12;50.192037402;245.84048236
022019;2;20170300023497;3;1;02;12;50.39172798;141.64229164
042019;2;20170300023497;3;1;02;12;51.146268997;212.29105962
022019;2;20170300033292;4;1;07;98;92.57401107;706.34392439
012019;2;20170300033292;4;1;07;98;91.112401468;1040.4236978
042019;2;20170400001640;4;1;08;98;97.378303045;192.31123277
052019;2;20170400002099;3;1;05;01;87.932206373;96.420762075
042019;2;20170400002099;3;1;05;01;87.903607364;125.01220536
042019;2;20170400002105;4;1;05;98;97.378303045;150.146142
052019;2;20170400002105;4;1;05;98;97.078431844;73.124567733
042019;2;20170400035882;4;1;01;98;97.378303045;758.41927262
042019;2;20170500002617;4;1;05;98;97.378303045;150.146142
052019;2;20170500002617;4;1;05;98;97.078431844;73.124567733
062019;2;20170500002617;4;1;05;98;97.937893452;346.01130803
042019;2;20170500002880;4;1;02;98;97.378303045;445.62358125
052019;2;20170500002880;4;1;02;98;97.078431844;253.97900373
062019;2;20170500010129;4;1;06;98;97.937893452;244.31526951
052019;2;20170500010129;4;1;06;98;97.078431844;154.05913331
042019;2;20170500010129;4;1;06;98;97.378303045;188.55575167
052019;2;20170500017273;3;1;08;09;87.932206373;868.71002427
042019;2;20170500017273;3;1;08;09;87.903607364;916.9874937
052019;2;20170500021953;4;1;02;98;97.078431844;253.97900373
042019;2;20170500021953;4;1;02;98;97.378303045;445.62358125
042019;2;20170500024760;4;1;08;98;97.378303045;192.31123277
052019;2;20170500024760;4;1;08;98;97.078431844;140.76602313
052019;2;20170500028186;4;1;08;98;97.078431844;140.76602313
042019;2;20170500028186;4;1;08;98;97.378303045;192.31123277
042019;2;20170500028189;4;1;02;98;97.378303045;445.62358125
052019;2;20170500028189;4;1;02;98;97.078431844;253.97900373
052019;2;20170500037708;4;1;08;98;97.078431844;140.76602313
042019;2;20170500037708;4;1;08;98;97.378303045;192.31123277
062019;2;20170600001418;4;1;05;98;97.937893452;346.01130803
042019;2;20170600001418;4;1;05;98;97.378303045;150.146142
052019;2;20170600001418;4;1;05;98;97.078431844;73.124567733
042019;2;20170600001479;3;1;08;09;87.903607364;384.52505542
052019;2;20170600001479;3;1;08;09;87.932206373;433.86947222
042019;2;20170600001504;4;1;08;98;97.378303045;192.31123277
052019;2;20170600001504;4;1;08;98;97.078431844;140.76602313
052019;2;20170600013045;4;1;05;98;97.078431844;73.124567733
062019;2;20170600013045;4;1;05;98;97.937893452;346.01130803
042019;2;20170600013045;4;1;05;98;97.378303045;150.146142
042019;2;20170600018381;4;1;02;98;97.378303045;445.62358125
052019;2;20170600019255;4;1;08;98;97.078431844;140.76602313
042019;2;20170600019255;4;1;08;98;97.378303045;192.31123277
052019;2;20170600020917;4;1;08;98;97.078431844;140.76602313
042019;2;20170600020917;4;1;08;98;97.378303045;192.31123277
052019;2;20170600022385;4;1;08;98;97.078431844;140.76602313
042019;2;20170600022385;4;1;08;98;97.378303045;192.31123277
042019;2;20170600022390;3;1;08;16;87.903607364;667.82592999
052019;2;20170600022390;3;1;08;16;87.932206373;459.76802921
062019;2;20170600030369;3;1;06;16;88.626279357;775.67533794
042019;2;20170600030369;3;1;06;16;87.903607364;654.78453027
052019;2;20170600030369;3;1;06;16;87.932206373;503.18580102
062019;2;20170600032107;4;1;06;98;97.937893452;244.31526951
052019;2;20170600032107;4;1;06;98;97.078431844;154.05913331
042019;2;20170600032107;4;1;06;98;97.378303045;188.55575167
102019;2;20170900005560;4;1;06;98;0;172.39253555
102019;2;20170900005803;3;1;08;16;88.346945539;1123.2992517
102019;2;20171000000722;4;1;02;98;98.680715036;280.50827663
102019;2;20171000006272;4;1;06;98;98.680715036;172.39253555
102019;2;20171000006318;3;1;06;01;88.346945539;212.67068086
112019;2;20171000013452;4;1;06;98;99.536167082;218.4619637
102019;2;20171000013452;4;1;06;98;98.680715036;172.39253555
102019;2;20171000024229;3;3;14;12;504.07494914;437.07762599
102019;2;20171000024231;3;3;14;12;924.39383499;218.538813
102019;2;20171000028407;3;3;01;12;96.20086964;335.16859035
102019;2;20171000028408;3;3;01;12;96.20086964;335.16859035
102019;2;20171000028409;3;3;01;12;96.20086964;335.16859035
102019;2;20171000028410;3;3;01;12;96.20086964;335.16859035
102019;2;20171000028411;3;3;01;12;127.6537914;335.16859035
102019;2;20171000028412;3;3;01;12;96.20086964;335.16859035
102019;2;20171000028413;3;3;01;12;96.20086964;335.16859035
102019;2;20171000028414;3;3;01;12;96.20086964;335.16859035
102019;2;20171000028415;3;3;01;12;71.899455888;335.16859035
102019;2;20171000028416;3;3;01;12;96.20086964;335.16859035
102019;2;20171000028417;3;3;01;12;146.02938264;670.33718069
102019;2;20171000028418;3;3;01;12;164.25025383;167.58429517
102019;2;20171000028419;3;3;01;12;115.36167082;335.16859035
102019;2;20171000028420;3;3;01;12;144.50588732;335.16859035
102019;2;20171000028421;3;3;01;12;200.88909014;335.16859035
102019;2;20171000028422;3;3;01;12;253.44864653;335.16859035
102019;2;20171000028423;3;3;01;12;204.12707826;335.16859035
102019;2;20171000028424;3;3;01;12;142.99391849;335.16859035
102019;2;20171000028425;3;3;01;12;123.2734056;335.16859035
102019;2;20171000028426;3;3;01;12;115.07128766;335.16859035
102019;2;20171000033651;4;1;02;98;98.680715036;280.50827663
102019;2;20171000037700;3;3;07;12;188.98808579;167.58429517
102019;2;20171000038990;3;3;14;12;232.28878665;218.538813
102019;2;20171100015916;4;1;06;98;98.680715036;172.39253555
122019;2;20171200023302;3;1;08;16;88.850044731;615.85317972
102019;2;20171200023302;3;1;08;16;88.346945539;507.05356868
112019;2;20171200023302;3;1;08;16;88.318811341;273.01833265
102019;2;20171200035946;4;1;06;98;98.680715036;172.39253555
112019;2;20171200035946;4;1;06;98;99.536167082;218.4619637
122019;2;20171200035946;4;1;06;98;101.29052814;759.89275517
012019;2;20180100000201;4;2;03;98;41.773998326;240.42593932
012019;2;20180100000202;4;2;03;98;41.773998326;240.42593932
012019;2;20180100000839;4;3;05;98;253.9908465;324.42772064
012019;2;20180100000997;4;2;11;98;41.773998326;1009.7133542
012019;2;20180100001004;4;2;05;98;41.773998326;236.07294832
012019;2;20180100001616;4;1;07;98;91.112401468;308.57969227
012019;2;20180100001731;4;1;02;98;91.112401468;291.83487956
012019;2;20180100003252;4;2;11;98;41.773998326;252.42833856
012019;2;20180100003254;4;2;11;98;41.773998326;252.42833856
012019;2;20180100003378;3;2;01;09;207.85551764;280.33999862
032019;2;20180100003618;4;1;01;98;94.871633381;61.444607295
022019;2;20180100003618;4;1;01;98;92.57401107;144.34696973
012019;2;20180100003634;3;1;05;01;85.137445697;110.14252388
012019;2;20180100003766;4;1;07;98;91.112401468;308.57969227
012019;2;20180100003776;4;1;02;98;91.112401468;291.83487956
012019;2;20180100004589;4;2;05;98;41.773998326;236.07294832
012019;2;20180100005902;3;1;12;01;85.137445697;311.98101633
012019;2;20180100005907;3;1;05;01;85.137445697;59.444533954
012019;2;20180100006310;4;1;07;98;91.112401468;308.57969227
012019;2;20180100006328;4;1;07;98;91.112401468;308.57969227
012019;2;20180100006587;4;2;03;98;41.773998326;480.85187864
012019;2;20180100006589;4;2;03;98;41.773998326;240.42593932
012019;2;20180100006591;4;2;03;98;41.773998326;721.27781796
012019;2;20180100006592;4;2;03;98;41.773998326;240.42593932
012019;2;20180100006682;4;2;03;98;41.773998326;240.42593932
012019;2;20180100006684;4;2;03;98;41.773998326;240.42593932
