Comunidades autónomas	Tipo de dato	Periodo	Total
01 Andalucía	Dato base	2019	12.023.153
02 Aragón	Dato base	2019	544.761
03 Asturias, Principado de	Dato base	2019	317.860
04 Balears, Illes	Dato base	2019	13.679.781
05 Canarias	Dato base	2019	13.146.863
06 Cantabria	Dato base	2019	392.516
07 Castilla y León	Dato base	2019	1.286.198
08 Castilla - La Mancha	Dato base	2019	262.044
09 Cataluña	Dato base	2019	19.375.152
10 Comunitat Valenciana	Dato base	2019	9.535.496
11 Extremadura	Dato base	2019	469.398
12 Galicia	Dato base	2019	1.624.711
13 Madrid, Comunidad de	Dato base	2019	7.640.980
14 Murcia, Región de	Dato base	2019	1.037.818
15 Navarra, Comunidad Foral de	Dato base	2019	415.054
16 País Vasco	Dato base	2019	1.611.280
17 Rioja, La	Dato base	2019	139.497
